timestamp,source_ip,destination_ip,protocol,packet_length
1780593879.2107127,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,110
1780593879.2109306,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,86
1780593879.3044164,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,98
1780593879.3051364,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,98
1780593879.3053648,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593879.305619,64:ff9b::c6fc:ce01,2409:40c0:2f:b959:125e:326a:36f2:be38,6,86
1780593879.305775,2409:40c0:2f:b959:125e:326a:36f2:be38,64:ff9b::c6fc:ce01,6,86
1780593883.4041042,fe80::8190:93d3:1db3:d27d,2409:40c0:2f:b959::a5,58,86
1780593883.5027122,2409:40c0:2f:b959::a5,fe80::8190:93d3:1db3:d27d,58,78
1780593888.1133137,fe80::185b:deff:fea4:d9f1,2409:40c0:2f:b959:125e:326a:36f2:be38,58,86
1780593888.113717,2409:40c0:2f:b959:125e:326a:36f2:be38,fe80::185b:deff:fea4:d9f1,58,78
1780593894.244409,fe80::185b:deff:fea4:d9f1,fe80::8190:93d3:1db3:d27d,58,86
1780593894.244561,fe80::8190:93d3:1db3:d27d,fe80::185b:deff:fea4:d9f1,58,78
1780593913.6719701,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,90
1780593913.6726825,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,90
1780593913.7987494,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,186
1780593913.7997994,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,202
1780593913.8000064,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593914.0077999,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593914.0091102,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,152
1780593914.107924,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,190
1780593914.807498,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593914.925072,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593915.8101704,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593915.9501107,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593916.8111563,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593916.9699466,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593917.8150184,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593917.8936167,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593918.817127,fe80::185b:deff:fea4:d9f1,2409:40c0:2f:b959:125e:326a:36f2:be38,58,86
1780593918.8201272,2409:40c0:2f:b959:125e:326a:36f2:be38,fe80::185b:deff:fea4:d9f1,58,78
1780593918.8203485,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593918.91805,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593919.8164864,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593919.9398105,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593920.8178544,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::8b,58,118
1780593920.9637709,2404:6800:4000:101f::8b,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593924.881979,fe80::8190:93d3:1db3:d27d,fe80::185b:deff:fea4:d9f1,58,86
1780593925.0578537,fe80::185b:deff:fea4:d9f1,fe80::8190:93d3:1db3:d27d,58,78
1780593930.690751,fe80::185b:deff:fea4:d9f1,fe80::8190:93d3:1db3:d27d,58,86
1780593930.6910203,fe80::8190:93d3:1db3:d27d,fe80::185b:deff:fea4:d9f1,58,78
1780593931.558989,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,90
1780593931.5593452,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,90
1780593931.712143,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,186
1780593931.713151,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,202
1780593931.7133799,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593931.9174917,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
