iat,frame_size,src_mac_known,payload_entropy
0.0003719329833984375,60,True,-0.0
0.00023818016052246094,60,True,-0.0
0.0006389617919921875,60,True,-0.0
0.00030994415283203125,60,True,-0.0
0.000247955322265625,60,True,-0.0
0.0002639293670654297,60,True,-0.0
0.0001971721649169922,60,True,-0.0
0.0009670257568359375,60,True,-0.0
0.007982969284057617,60,True,-0.0
0.0004889965057373047,60,True,-0.0
0.004060983657836914,60,True,-0.0
0.004669904708862305,60,True,-0.0
0.004537105560302734,60,True,-0.0
0.003879070281982422,60,True,-0.0
0.003519773483276367,60,True,-0.0
0.0046842098236083984,60,True,-0.0
0.0022368431091308594,60,True,-0.0
0.004189968109130859,60,True,-0.0
0.004979133605957031,60,True,-0.0
0.003507852554321289,60,True,-0.0
0.0029180049896240234,60,True,-0.0
0.0059201717376708984,60,True,-0.0
0.002569913864135742,60,True,-0.0
0.004770994186401367,60,True,-0.0
0.004224061965942383,60,True,-0.0
0.004862070083618164,60,True,-0.0
0.0020928382873535156,60,True,-0.0
0.005628108978271484,60,True,-0.0
0.0026178359985351562,60,True,-0.0
0.003692150115966797,60,True,-0.0
0.004564046859741211,60,True,-0.0
0.005228996276855469,60,True,-0.0
0.0022699832916259766,60,True,-0.0
0.00413203239440918,60,True,-0.0
0.00397801399230957,60,True,-0.0
0.005593776702880859,60,True,-0.0
0.0028150081634521484,60,True,-0.0
0.004479169845581055,60,True,-0.0
0.005903005599975586,60,True,-0.0
0.0008869171142578125,60,True,-0.0
0.0072519779205322266,60,True,-0.0
0.0005090236663818359,60,True,-0.0
0.006421089172363281,60,True,-0.0
0.002391815185546875,60,True,-0.0
0.0047070980072021484,60,True,-0.0
0.0046539306640625,60,True,-0.0
0.0026869773864746094,60,True,-0.0
0.007235050201416016,60,True,-0.0
0.0001919269561767578,60,True,-0.0
0.005052089691162109,60,True,-0.0
0.0055239200592041016,60,True,-0.0
0.002660989761352539,60,True,-0.0
0.008739233016967773,60,True,-0.0
0.0003178119659423828,60,True,-0.0
0.0037190914154052734,60,True,-0.0
0.004659891128540039,60,True,-0.0
0.0038230419158935547,60,True,-0.0
0.003122091293334961,60,True,-0.0
0.004750967025756836,60,True,-0.0
0.00360107421875,60,True,-0.0
0.003990888595581055,60,True,-0.0
0.004744052886962891,60,True,-0.0
0.003640890121459961,60,True,-0.0
0.003444194793701172,60,True,-0.0
0.007415771484375,60,True,-0.0
0.00045108795166015625,60,True,-0.0
0.004527091979980469,60,True,-0.0
0.0029020309448242188,60,True,-0.0
0.00810384750366211,60,True,-0.0
0.0007040500640869141,60,True,-0.0
0.0030040740966796875,60,True,-0.0
0.009876012802124023,60,True,-0.0
0.0005669593811035156,60,True,-0.0
0.0009329319000244141,60,True,-0.0
0.005906105041503906,60,True,-0.0
0.002727031707763672,60,True,-0.0
0.0058019161224365234,60,True,-0.0
0.0017020702362060547,60,True,-0.0
0.004910945892333984,60,True,-0.0
0.003954887390136719,60,True,-0.0
0.0030460357666015625,60,True,-0.0
0.004022121429443359,60,True,-0.0
0.004621982574462891,60,True,-0.0
0.0036978721618652344,60,True,-0.0
0.005928993225097656,60,True,-0.0
0.001990079879760742,60,True,-0.0
